appearance_count,token,length
1725,rộng,1
1708,ương,1
1705,"lực lượng",2
1705,thuận,1
1699,"gia đình",2
1698,cường,1
1695,vốn,1
1695,chạy,1
1689,"quyết định",2
1688,tộc,1
1682,"quan trọng",2
1681,gì,1
1680,"liên quan",2
1678,hủy,1
1664,hiểm,1
1656,"đầu tiên",2
1647,quang,1
1627,ít,1
1624,"tỷ đồng",2
1621,"của các",2
1619,hứng,1
1600,lưu,1
1594,biểu,1
1589,"giáo dục",2
1583,tốn,1
1582,"trong những",2
1556,"cung cấp",2
1551,"đánh giá",2
1550,duy,1
1536,kịch,1
1535,hết,1
1534,phía,1
1532,"lao động",2
1531,chuẩn,1
1524,"quy định",2
1522,vàng,1
1514,"trở thành",2
1512,âm,1
1506,thụy,1
1504,đạp,1
1491,"khoa học",2
1490,kháng,1
1488,hoảng,1
1486,chối,1
1485,"sau đó",2
1484,nhắc,1
1479,mắn,1
1469,"chuyên gia",2
1465,tọa,1
1465,"đồng thời",2
1462,lây,1
1461,âu,1
1459,chiếc,1
1456,"ảnh hưởng",2
1450,phá,1
1447,"người đứng",2
1437,ồn,1
1435,"không thể",2
1432,ngôi,1
1432,"quốc tế",2
1432,"yêu cầu",2
1426,"kế hoạch",2
1419,"và các",2
1418,"thành viên",2
1418,"các nhà",2
1418,"cơ sở",2
1417,phiếu,1
1416,"của mình",2
1413,ninh,1
1412,"giám đốc",2
1405,soát,1
1393,"y tế",2
1393,lớp,1
1392,nghĩa,1
1386,miền,1
1383,"tài chính",2
1381,"một trong",2
1381,"quốc hội",2
1380,"tổng thống",2
1379,"xảy ra",2
1376,riêng,1
1374,"chính phủ",2
1372,cây,1
1368,"lãnh đạo",2
1365,"quân sự",2
1365,khỏe,1
1365,"thay đổi",2
1361,"quá trình",2
1356,luôn,1
1352,"khách hàng",2
1349,"mục tiêu",2
1345,sao,1
1338,sắc,1
1336,tàu,1
1309,"trung tâm",2
1307,"ngân hàng",2
1300,thoại,1
1290,tiêm,1
1290,"cho các",2
1281,"chúng ta",2
1279,nữa,1
1271,"đơn vị",2
1268,trào,1
1268,á,1
1266,trách,1
1265,"đảm bảo",2
1264,nạn,1
1260,"chính sách",2
1258,"tình trạng",2
1250,"điều tra",2
1249,"giá trị",2
1243,mong,1
1230,"khó khăn",2
1225,"bảo vệ",2
1221,"cho thấy",2
1217,kéo,1
1217,"kiểm soát",2
1210,suất,1
1210,nhìn,1
1210,góp,1
1201,kim,1
1201,ngộ,1
1201,"tại san",2
1201,bóng,1
1193,"nhiều người",2
1193,"giai đoạn",2
1192,họng,1
1181,ghi,1
1181,"triển khai",2
1178,"đó là",2
1177,"đó có",2
1177,súng,1
1176,"bắt đầu",2
1175,"hiệu quả",2
1173,"quan hệ",2
1172,"trước đó",2
1171,"cá nhân",2
1170,phối,1
1170,"cũng như",2
1168,"xử lý",2
1164,"điều này",2
1160,"đào tạo",2
1160,ai,1
1159,"kết quả",2
1153,"báo cáo",2
1147,"triệu đồng",2
1143,"đưa ra",2
1140,hâm,1
1139,"thời điểm",2
1138,"năng lượng",2
1137,nguy,1
1136,"đã được",2
1135,"giao dịch",2
1135,hút,1
1134,"phù hợp",2
1130,xung,1
1125,"diễn ra",2
1124,"thiết kế",2
1124,thuê,1
1122,"cứng cổ",2
1117,lâu,1
1115,trăm,1
1114,phép,1
1114,giảng,1
1111,"hợp tác",2
1110,"khi đó",2
1105,ưu,1
1105,niệm,1
1101,"ngoài ra",2
1096,gửi,1
1094,"tất cả",2
1091,"nhà nước",2
1089,"xuất hiện",2
1085,"bên cạnh",2
1083,ào,1
1081,"thiết bị",2
1081,"trường hợp",2
1080,"phát hiện",2
1078,"không phải",2
1076,thua,1
1074,"tập trung",2
1067,đêm,1
1063,"đã có",2
1063,"địa phương",2
1054,giống,1
1052,"sức khỏe",2
1052,"lĩnh vực",2
1052,"nhà đầu",2
1049,lệnh,1
1046,hạt,1
1038,"nhân viên",2
1036,"nhu cầu",2
1034,"của người",2
1034,"đại diện",2
1032,chấp,1
1030,"trước khi",2
1022,"một trong những",3
1021,xuyên,1
1021,"nhà đầu tư",3
1020,"an toàn",2
1017,dẹp,1
1015,"cơ hội",2
1012,"dịch vụ",2
1010,"thông báo",2
1005,"thủ tướng",2
1003,"nhà máy",2
1001,"công bố",2
999,"kiểm tra",2
997,sai,1
997,chịu,1
992,"cùng là",2
990,"năm nay",2
988,"với những",2
988,"lựa chọn",2
988,"nước này",2
988,"hợp với",2
986,"công tác",2
985,"kinh doanh",2
984,"thông qua",2
983,sớm,1
983,"chất lượng",2
983,"vũ khí",2
977,"có nhiều",2
975,"chứng khoán",2
970,"tôi đã",2
969,"này có",2
968,"du lịch",2
967,"nhận được",2
967,khuyến,1
965,vượt,1
963,"cảnh sát",2
954,"vị trí",2
953,"công việc",2
950,"thực tế",2
950,"động của",2
949,"môi trường",2
947,sơn,1
943,quay,1
939,gái,1
937,"mọi người",2
937,"ứng dụng",2
935,"khẳng định",2
933,giấy,1
929,"an ninh",2
927,"nội dung",2
927,"bản thân",2
919,"hiện tại",2
908,kèm,1
906,cắt,1
904,"chi phí",2
897,xúc,1
896,"và có",2
896,giác,1
894,"thành công",2
890,"tấn công",2
890,"trong thời",2
889,sửa,1
887,ngón,1
887,"vào năm",2
885,coi,1
879,vướng,1
878,"tạo ra",2
878,"truyền thông",2
877,"trong một",2
870,"nhận định",2
867,"bảo hiểm",2
866,buổi,1
866,"không chỉ",2
859,ngại,1
858,nhi,1
857,"trách nhiệm",2
854,trời,1
853,quen,1
851,"sẽ được",2
851,"các công",2
850,"hiện nay",2
850,"trở lại",2
849,"đề nghị",2
847,"từ đó",2
847,ích,1
845,"xác định",2
843,"cho người",2
842,"giải pháp",2
838,"chiến dịch",2
837,phe,1
837,"vi phạm",2
836,"trung ương",2
835,"hành vi",2
834,"thậm chí",2
830,"kể từ",2
829,chiếm,1
829,"nền tảng",2
828,"giải quyết",2
827,"trong các",2
827,"sở hữu",2
824,"trong khi đó",3
822,"nhân dân",2
820,"rất nhiều",2
817,lược,1
816,"bao gồm",2
815,"cuộc sống",2
815,xin,1
814,"hoàn toàn",2
814,"cụ thể",2
814,"quân đội",2
814,"động sản",2
814,"hạn chế",2
813,khủng,1
811,"toàn cầu",2
811,"quốc phòng",2
806,"nhất là",2
805,"do đó",2
803,"nỗ lực",2
802,nhiệt,1
800,"điều kiện",2
800,"cộng đồng",2
797,"ủy ban",2
797,"các cơ",2
796,"sự kiện",2
792,"tuyên bố",2
791,"bác sĩ",2
791,"cổ phiếu",2
790,"thể hiện",2
789,"gần đây",2
786,"hội đồng",2
785,"là một trong",3
783,"trực tiếp",2
779,"kỹ thuật",2
778,"trải nghiệm",2
778,"dự kiến",2
778,sốc,1
776,"một người",2
775,"hình ảnh",2
773,"quan tâm",2
768,luyện,1
766,góc,1
766,"có những",2
763,"tăng cường",2
761,ngọc,1
761,"thương mại",2
760,"kéo dài",2
758,"vai trò",2
757,"chiến lược",2
756,yên,1
756,ấy,1
755,"có một",2
755,"trong việc",2
754,"tên lửa",2
754,quanh,1
752,"quan chức",2
749,suy,1
748,"giao thông",2
747,"quan đến",2
747,pháo,1
745,"ngày càng",2
745,"bệnh viện",2
742,"sinh viên",2
740,"chức năng",2
738,khám,1
738,"học tập",2
736,"là những",2
736,thách,1
735,"sẽ khống",2
731,"liên tục",2
730,"áp dụng",2
729,"bổ sung",2
728,"máy bay",2
723,"liên quan đến",3
722,"nguy cơ",2
722,trọn,1
721,"duy trì",2
720,"như vậy",2
717,"điển từ",2
717,"tác động",2
713,"dữ liệu",2
713,mốc,1
712,"tài khoản",2
710,"trong thời gian",3
710,khao,1
707,"này đã",2
705,"là người",2
703,sáp,1
703,"hồ sơ",2
701,"tỷ lệ",2
700,"bất động",2
700,"cạnh đó",2
699,"toàn bộ",2
699,xanh,1
698,"nguyên nhân",2
695,"tương lai",2
694,"nói tiếng",2
693,"văn hóa",2
691,video,1
690,"thường xuyên",2
688,"đến nay",2
687,"phân tích",2
687,"chính trị",2
686,"hợp đồng",2
685,chả,1
683,"khác nhau",2
682,"đại dịch",2
682,"và công",2
681,"ra mắt",2
681,"khán giả",2
680,suốt,1
679,"nâng cao",2
678,"lịch sử",2
678,"thúc đẩy",2
677,"không gian",2
677,"không được",2
677,"thương hiệu",2
676,bức,1
675,loạt,1
675,"ghi nhận",2
674,"tương tự",2
673,niên,1
671,thỏa,1
671,xếp,1
668,"tích cực",2
666,thau,1
664,"yếu tố",2
664,"phiên bản",2
663,sắm,1
662,phút,1
660,hiệp,1
660,"của ông",2
659,"hoàn thành",2
659,chàng,1
659,"chuẩn bị",2
659,"đăng ký",2
658,"trong đó có",3
658,"đồng cổ",2
656,huỳnh,1
654,bùng,1
654,"mạng xã",2
652,chắc,1
651,"diễn viên",2
651,"của công",2
649,vui,1
648,"trang bị",2
647,"nhấn mạnh",2
647,"mạng xã hội",3
646,lạc,1
645,"nằm trong",2
644,thác,1
644,"chi có",2
643,"vào tháng",2
643,gắng,1
642,"tăng trưởng",2
642,"nhiệm vụ",2
640,"bất động sản",3
640,khánh,1
639,"phương tây",2
637,"lý do",2
636,"thu hút",2
635,"tập đoàn",2
634,"của họ",2
634,"tại các",2
632,"về việc",2
632,"sẽ có",2
632,"áp lực",2
632,"cho hay",2
632,"cán bộ",2
631,chuỗi,1
630,mũi,1
630,"ủng hộ",2
630,"phụ nữ",2
629,"điện thoại",2
629,"lớn nhất",2
628,"kết nối",2
628,lượt,1
628,"bên cạnh đó",3
627,"đô thị",2
626,"hành động",2
625,rút,1
623,"chính thức",2
623,"điều chỉnh",2
623,"nay là",2
623,"điều trị",2
622,"trong năm",2
620,hào,1
619,"từ khi",2
617,"đầu năm",2
617,"thực phẩm",2
615,giấu,1
614,"hàng đầu",2
613,"nhanh chóng",2
612,"chính quyền",2
611,"từ năm",2
611,"biện pháp",2
610,"phối hợp",2
610,"kết hợp",2
607,"có khả",2
607,"khi đợt",2
606,"để xuất",2
606,"các nước",2
606,"các em",2
606,"vụ án",2
605,"xu hướng",2
604,nhẹ,1
604,"xem xét",2
604,"trừng phạt",2
604,"dành cho",2
604,"phương tiện",2
604,"chỉ đạo",2
603,"ý kiến",2
603,"cho phép",2
602,"tình hình",2
599,"cảnh báo",2
599,"các loại",2
598,"cũng không",2
597,"kinh nghiệm",2
596,"cổ phần",2
596,"từ các",2
596,"mở rộng",2
594,"này sẽ",2
594,bạch,1
593,"mong muốn",2
592,"cửa hàng",2
591,"theo dõi",2
588,"có khả năng",3
586,"số lượng",2
586,"nạn nhân",2
585,siêu,1
583,"gia nhập",2
583,loan,1
583,"pháp luật",2
581,"các chuyên",2
581,"để cố",2
579,"nhưng không",2
578,sốt,1
578,"các trường",2
577,hấp,1
577,"dẫn đến",2
576,"biệt là",2
576,"có sự",2
576,xăng,1
576,rừng,1
574,"số tiền",2
574,"cuối cùng",2
573,"đáp ứng",2
573,"điều hành",2
571,"trong cuộc",2
571,"phục vụ",2
570,"kiến thức",2
569,"ổn định",2
569,"năm ngoái",2
568,"cảm thấy",2
568,"nước ngoài",2
567,"trong số",2
567,"bối cảnh",2
567,"tử vong",2
567,"đối tượng",2
566,ngừng,1
566,hy,1
564,"trong quá",2
562,"tư vấn",2
562,"tính thân",2
561,"còn lại",2
561,bốn,1
560,"trẻ em",2
560,"thanh toán",2
559,"thế hệ",2
558,kịp,1
558,ga,1
556,"trao đổi",2
555,"hướng đến",2
555,"chăm sóc",2
555,"nguồn cung",2
555,"thí sinh",2
554,"công nghiệp",2
554,"văn phòng",2
552,"và không",2
552,"một phần",2
550,"dòng và",2
548,"trở nên",2
548,"tốc độ",2
547,ngầm,1
545,"vì vậy",2
544,"bị cáo",2
543,"tiếp cận",2
543,"kết thúc",2
542,"mối quan",2
542,"nhân vật",2
541,"tôi không",2
540,"kỹ năng",2
538,"với mục",2
538,"trong nước",2
538,"nghiêm trọng",2
537,nhuận,1
537,"đặc biệt là",3
536,"cần thiết",2
536,"cơ bản",2
534,"thực sự",2
534,ước,1
534,xuân,1
534,"người lao",2
533,nuôi,1
533,rủi,1
533,"nền kinh",2
532,"sẵn sàng",2
532,"các công ty",3
532,truy,1
531,"nhất của",2
531,"các hoạt",2
531,"khi có",2
530,"lần đầu",2
530,"tìm kiếm",2
529,"nền kinh tế",3
529,"công nhận",2
529,"thứ hai",2
529,"năng lực",2
528,"bộ phim",2
527,"ban đầu",2
527,"dinh dưỡng",2
526,"các hoạt động",3
525,"đất nước",2
525,"chú ý",2
524,"với giá",2
524,lọc,1
522,giành,1
521,viêm,1
521,"cao hơn",2
521,"người có",2
520,"người lao động",3
520,"của cổ",2
520,"trực tuyến",2
520,"thể thao",2
519,"phù hợp với",3
519,"xuất khẩu",2
519,"dễ dàng",2
518,"tâm lý",2
517,"này được",2
516,"lãi suất",2
516,"gây ra",2
514,chết,1
514,"không còn",2
514,"nối với",2
513,"hình thức",2
513,"hai nước",2
511,"một cách",2
511,ngược,1
511,"và phát",2
510,"tháng 4",2
509,"thỏa thuận",2
508,"cố gắng",2
506,"vụ việc",2
506,"có giá",2
506,"đối tác",2
505,"mạnh mẽ",2
505,"tiến sĩ",2
504,"cùng với",2
503,"cao nhất",2
503,"ở mức",2
502,"được sự",2
502,"công trình",2
501,"của một",2
500,"con người",2
500,"góp phần",2
500,"đã bị",2
500,"năm qua",2
498,"định của",2
498,"đạt được",2
497,"dịch quân",2
494,"đến từ",2
493,"chiến dịch quân",3
493,"với người",2
493,"phục hồi",2
492,khúc,1
492,"sáng tạo",2
491,"dịch quân sự",3
491,"ban có",2
491,new,1
488,"này cũng",2
488,"mối quan hệ",3
488,"đầy đủ",2
488,"bất kỳ",2
488,"các bạn",2
487,"binh sĩ",2
487,"trong quá trình",3
487,"rủi ro",2
486,mềm,1
486,"điều đó",2
485,"chế độ",2
484,"trong bối",2
484,"ấn độ",2
484,"thay vì",2
484,"của bản",2
483,bốt,1
483,"bình luận",2
483,"gia tăng",2
482,bầu,1
482,"hiện đại",2
482,"các sản",2
481,"đa dạng",2
480,"quan điểm",2
480,"học và",2
479,"chỉ số",2
479,"các thành",2
478,"do các",2
477,"các cuộc",2
477,"nhất trong",2
477,"dịch bệnh",2
476,"chỉ là",2
476,"nam và",2
474,"xung đột",2
474,"” ông",2
473,"dụng các",2
473,"của bộ",2
472,"trong bối cảnh",3
472,"hướng dẫn",2
471,kiểu,1
471,"nhưng vẫn",2
470,"chuyển đổi",2
469,"nhập khẩu",2
469,"các doanh",2
469,"bệnh nhân",2
469,"vào ngày",2
468,"mô hình",2
467,"đôi mới",2
465,"mang đến",2
464,béo,1
464,"đồng trong",2
464,"cũng được",2
463,"đối mặt",2
461,"lợi ích",2
461,huế,1
460,"các doanh nghiệp",3
460,"triệu chứng",2
459,"các chuyên gia",3
459,"bình thường",2
459,"lợi nhuận",2
459,"bày tỏ",2
458,"xác nhận",2
458,"này không",2
458,"nông nghiệp",2
457,"những năm",2
457,"hôm nay",2
457,"còn có",2
456,"thể não",2
455,"giới thiệu",2
454,"hội nghị",2
454,"tiết kiệm",2
454,"cải thiện",2
454,"vận động",2
454,duyệt,1
453,"theo quy",2
453,"mang lại",2
452,bữa,1
451,"ít nhất",2
451,"cũng đã",2
451,"của chính",2
451,"mà không",2
451,"chính là",2
450,"tác phẩm",2
449,"không cần",2
449,vườn,1
449,"giam sát",2
449,"di chuyển",2
448,"màn hình",2
448,liệt,1
446,"ở các",2
445,"vào các",2
445,mì,1
445,"sẽ là",2
444,"tiền số",2
444,"trường đại",2
444,"đàn ông",2
443,"tới cơ",2
443,"phát hành",2
443,"của nhà",2
443,"phụ huynh",2
442,"bị thu",2
442,"trên thế",2
442,"tương đương",2
442,"hạ tầng",2
442,"tiến hành",2
442,"quy mô",2
442,thuyết,1
442,"phổ biến",2
441,"nói rằng",2
441,"chi tiết",2
441,"có cơ",2
440,"các vấn",2
439,"đang được",2
439,"nhiều hơn",2
439,"là các",2
439,"ông nói",2
438,"tiêu chuẩn",2
437,chụp,1
437,"là có",2
436,dịp,1
436,"trước đây",2
435,"năm trước",2
434,"thu nhập",2
434,"vượt qua",2
433,"chiến thắng",2
433,"các đối",2
433,"cuộc thi",2
432,"được chờ",2
432,kênh,1
432,"tiến của",2
431,"gia của",2
431,xấu,1
430,quế,1
430,"bộ trưởng",2
429,"như thể",2
429,"cuối năm",2
429,"giáo viên",2
427,"cảm giác",2
427,"trung bình",2
427,"mức do",2
426,"chủ yếu",2
426,"tính năng",2
426,"câu chuyện",2
425,cốt,1
425,"dựa trên",2
425,"đồng tiền",2
425,"cam kết",2
424,"phải là",2
423,"bất ngờ",2
422,"hầu hết",2
422,thoát,1
422,"tại đây",2
422,"lo ngại",2
422,"trên thế giới",3
422,tuyết,1
422,"tự nhiên",2
421,"họ chi",2
420,"bằng cách",2
420,"cấp cao",2
420,"trường đại học",3
419,mệt,1
419,"mà còn",2
418,"vận hành",2
417,"địa bàn",2
416,"một năm",2
416,"từ ngày",2
415,"bộ quốc",2
415,mạch,1
415,"các sản phẩm",3
414,"xét nghiệm",2
414,"biên giới",2
414,"theo ông",2
414,bốc,1
414,"tiêu dùng",2
414,"trị giá",2
413,"mỗi ngày",2
413,"phần lớn",2
413,"xe máy",2
413,"với một",2
412,huyết,1
412,"dấu hiệu",2
411,"thi đấu",2
410,"đang cố",2
410,"dùng để",2
410,"có động",2
409,"con số",2
408,"mẫu xe",2
407,nghìn,1
407,"người khác",2
407,"bền vững",2
407,"liên minh",2
407,khắp,1
405,"với sự",2
405,"tốt nghiệp",2
404,"với việc",2
404,"du khách",2
403,"theo đó",2
403,xô,1
403,"được đưa",2
403,"trong lĩnh",2
402,"giáo sư",2
401,"hy vọng",2
401,dọa,1
401,"ví dụ",2
401,"chi tiêu",2
400,"này có thể",3
400,"được công",2
400,"vẫn chưa",2
400,"và phát triển",3
399,lũng,1
399,"về tình",2
398,"nhiều lần",2
398,"câu hỏi",2
398,"trong lĩnh vực",3
397,"bộ quốc phòng",3
397,trích,1
397,"chợ đen",2
396,"đưa vào",2
396,"phòng chống",2
396,"của chúng",2
396,"cả hai",2
395,lưới,1
394,"và một",2
394,"lạm phát",2
393,"lượng nga",2
392,"diễn biến",2
392,"chiến đấu",2
392,"chỉ mình",2
391,"phương pháp",2
391,"bộ công",2
390,nộp,1
390,"các đơn",2
390,"hình sự",2
389,"các dự",2
389,"việc làm",2
388,"doanh thu",2
388,rẽ,1
387,"trả lời",2
386,"về các",2
385,buồn,1
385,"là điều",2
384,"ấn tượng",2
383,"bạn bè",2
383,bánh,1
383,"nhiều năm",2
383,"mua sắm",2
382,rác,1
382,"bị cản",2
382,"đối thủ",2
381,"có ý",2
381,"ra những",2
381,"ngoại giao",2
381,"chưa có",2
381,"chính xác",2
380,"hòa bình",2
380,"tại nhà",2
379,"và đồng",2
379,"phát biểu",2
378,"tiếp theo",2
377,khớp,1
377,"nay cho",2
377,"hành trình",2
377,"như một",2
376,"theo quy định",3
375,"các biện",2
375,"cuối tháng",2
375,"thách thức",2
374,"hay không",2
374,"cố vấn",2
374,"tốt hơn",2
374,"nhân sự",2
374,"được nhiều",2
374,"của công ty",3
373,"ty cổ",2
373,"cao cấp",2
373,"thành lập",2
373,"qua nhiều",2
373,"đến các",2
373,"cạnh tranh",2
372,"người bạn",2
372,"họ có",2
372,"cho là",2
372,núi,1
371,"tư đông",2
371,"phong cách",2
370,"công ty cổ",3
370,"ra một",2
369,"cáo buộc",2
369,"thiệt hại",2
369,"chấp nhận",2
369,"thủ đô",2
369,"đội ngũ",2
369,"nghị quyết",2
368,"hàng không",2
368,"hiện các",2
368,"hồi tháng",2
368,"hàng hoá",2
368,"an tỉnh",2
368,"các cơ quan",3
367,"ngay sau",2
367,"ảnh hưởng đến",3
367,"thể là",2
367,"duy nhất",2
367,"thừa nhận",2
366,túi,1
366,"thái lan",2
366,"đây cũng",2
366,"một cuộc",2
